id;created_at;text;source;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;hashtags;retweeted_text;retweeted_user
928645419931983872;2017-11-09 15:28:16;b'#BoBombe in #Bochum Werne ist erfolgreich entsch\xc3\xa4rft worden. Die Teilsperrung der #A40 wird wieder aufgehoben.';Twitter Web Client;;False;2;5;BoBombe,Bochum,A40;;
928636548182093824;2017-11-09 14:53:00;b'#BoBombe: Fund einer #Fliegerbombe zwischen Ruhrpark Bochum und Harpener Bach, Teilsperrung #A40, keine Anwohner betroffen: https://t.co/Pl4Q9EXtbO';Twitter Web Client;;False;4;3;BoBombe,Fliegerbombe,A40;;
928586699025903617;2017-11-09 11:34:56;"b'#Ausflugstipp im #Herbst: Das @dbmbochum wird zwar gerade umgebaut, ist aber trotzdem einen Besuch wert, z.B. die F\xc3\xbchrung ""Nachts im Bergwerk"" am Donnerstag, 16. November: https://t.co/ViwkvFjYt1 https://t.co/ckUXonp27s'";Twitter Web Client;;False;1;4;Ausflugstipp,Herbst;;
928531380279136256;2017-11-09 07:55:06;b'Gl\xc3\xbcckwunsch @bergmannsheil und ans Katholische Klinikum #Bochum zum weltweit einzigartigen Erfolg: Gro\xc3\x9ffl\xc3\xa4chige Hauttransplantation aus transgenen epidermalen Stammzellen macht Patienten mit Hautsch\xc3\xa4digungen #Hoffnung #FightEB';Twitter Web Client;;False;3;26;Bochum,Hoffnung,FightEB;;
