tweet_id;screenname;city;date;text;source;reply_to;is_quote;retweetet_count;favorited_count;hashtags;retweeted_text;retweeted_user
929333892951302144;duesseldorf;Düsseldorf;2017-11-11 13:04:00;b'Der #Hoppeditz ist wieder erwacht. #helau #jeckerstrecht #duesseldorfhelau @ComiteeCarneval https://t.co/Q6FemLast1';TweetDeck;;False;6;9;Hoppeditz,helau,jeckerstrecht,duesseldorfhelau;;
929308291351629829;duesseldorf;Düsseldorf;2017-11-11 11:22:17;"b""Jecker geht's nimmer \xf0\x9f\x98\xae: P\xc3\xbcnktlich zum Auftakt der f\xc3\xbcnften Jahreszeit konnte der #Aquazoo #Duesseldorf heute seinen 111.111ten Besucher seit der Wiederer\xc3\xb6ffnung begr\xc3\xbc\xc3\x9fen. In diesem Sinne: D\xc3\xbcsseldorf #HELAU! https://t.co/h6X6FEHFrC https://t.co/xNtk5T8JZR""";TweetDeck;;False;3;15;Aquazoo,Duesseldorf,HELAU;;
929304445825048577;duesseldorf;Düsseldorf;2017-11-11 11:07:00;b'RT @OB_ThomasGeisel: .@Duesseldorf #helau ! #Hoppeditz#helau! @f95 #helau! https://t.co/EgUZTB8ssS';TweetDeck;;False;2;0;helau,helau;;
929297569729085440;duesseldorf;Düsseldorf;2017-11-11 10:39:40;b'Seit 11.11 Uhr ist #Hoppeditz wieder erwacht. #helau #jeckerstrecht https://t.co/gQT8BYs9oQ';Twitter for iPhone;;False;22;44;Hoppeditz,helau,jeckerstrecht;;
929288482756943873;duesseldorf;Düsseldorf;2017-11-11 10:03:34;b'RT @f95: ...\xf0\x9f\xa4\x94 @Duesseldorf #Helau #f95 https://t.co/ZIuACGKWmS';Twitter for iPhone;;False;9;0;Helau,f95;;
929286300020170754;duesseldorf;Düsseldorf;2017-11-11 09:54:53;b'#Regen? St\xc3\xb6rt uns nicht! Es wird #geschunkelt. #hoppeditz #helau https://t.co/yz53d59Deq';Twitter for iPhone;;False;9;30;Regen,geschunkelt,hoppeditz,helau;;
929278899732779008;duesseldorf;Düsseldorf;2017-11-11 09:25:29;b'Nicht mehr lange... #hoppeditz #helau https://t.co/DIrKY2i5ai';Twitter for iPhone;;False;6;23;hoppeditz,helau;;
929256683607556096;duesseldorf;Düsseldorf;2017-11-11 07:57:12;b'Die neuen Webcams sind online! Werft jederzeit live einen Blick auf den Burgplatz, das Rheinufer oder den Marktplatz, z.B. heute um 11:11, wenn der #Hoppeditz erwacht! \n\n\xe2\x96\xb6\xef\xb8\x8f https://t.co/80ekLiHbTp https://t.co/b5NUhtqE02';TweetDeck;;False;7;32;Hoppeditz;;
