tweet_id;screenname;city;date;text;source;reply_to;is_quote;retweetet_count;favorited_count;hashtags;retweeted_text;retweeted_user
930076623180845057;stadtdortmund;Dortmund;2017-11-13 14:15:21;b'Bitte einmal die Koffer packen! Es geht nach Wien! \nDie neue Flugstrecke nach #Wien, vom #Dortmund #Airport aus, wurde symbolisch eingeweiht!\n\xe2\x96\xb6\xef\xb8\x8f https://t.co/VVvDW18Y07 https://t.co/wfl7zAiNuT';Hootsuite;;False;1;7;Wien,Dortmund,Airport;;
930074102609661952;stadtdortmund;Dortmund;2017-11-13 14:05:20;b'Was eine expressionistische Landschaft aus 1910 mit unserem Alltag zu tun hat? Das #Museum am #Ostwall zeigt es euch.\n\xe2\x96\xb6\xef\xb8\x8f https://t.co/qSuaryxsrz https://t.co/Iy65odibht';Hootsuite;;False;1;2;Museum,Ostwall;;
930066038380814336;stadtdortmund;Dortmund;2017-11-13 13:33:17;"b'#Integrationsnetzwerk ""lokal willkommen"" der #Stadt erh\xc3\xa4lt #NRW-Sonderpreis!\n\xe2\x96\xb6\xef\xb8\x8f https://t.co/yL4VNMBotm https://t.co/bKeDEvVuEj'";Hootsuite;;False;2;3;Integrationsnetzwerk,Stadt,NRW;;
929999953883254785;stadtdortmund;Dortmund;2017-11-13 09:10:42;b'Guten Morgen, #Dortmund! https://t.co/e7VfCGb8Wa';Twitter for iPhone;;False;6;41;Dortmund;;
929724243222425600;stadtdortmund;Dortmund;2017-11-12 14:55:07;b'Eine #Wasserstra\xc3\x9fe im Portr\xc3\xa4t: Buchvorstellung zum #Dortmunder-Ems-Kanal im Alten #Hafenamt!\n\xe2\x96\xb6\xef\xb8\x8f https://t.co/5Cm1guRj7V https://t.co/eOu4mBCIx5';Hootsuite;;False;1;3;Wasserstraße,Dortmunder,Hafenamt;;
